rssi,rsrp,rsrq,rssnr,mPci,mEarfcn,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq,epoch
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079543.415263
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079543.722374
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079544.004803
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079544.292566
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079544.589127
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079544.893888
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079545.139196
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079545.415078
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079545.709722
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079545.988789
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079546.288342
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079546.599760
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079546.880300
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079547.166827
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079547.462451
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079547.767935
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079548.067239
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079548.370219
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079548.658921
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079548.959221
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079549.248477
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079549.538899
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079549.831912
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079550.086017
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079550.358617
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079550.643420
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079550.948205
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079551.257611
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079551.549928
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079551.854159
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079552.142613
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079552.426383
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079552.718155
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079553.012777
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079553.305626
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079553.597004
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079553.872927
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079554.161462
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079554.468834
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079554.771163
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079555.041907
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079555.310198
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079555.622291
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079555.914049
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079556.207875
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079556.507165
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079556.802935
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079557.086951
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079557.378226
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079557.677962
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079557.967942
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079558.264146
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079558.554105
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079558.868589
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079559.161804
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079559.482876
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079559.775615
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079560.034950
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079560.290205
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079560.602577
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079560.905754
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079561.199085
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079561.487452
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079561.774421
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079562.080257
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079562.378526
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079562.682004
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079562.979239
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079563.296173
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079563.596339
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079563.888856
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079564.189144
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079564.498776
-51,-81,-10,24,423,66536,423,-53,-81,-8,1688079564.797729
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079565.072769
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079565.355983
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079565.655619
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079565.960493
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079566.258913
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079566.562516
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079566.862167
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079567.150105
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079567.447808
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079567.743600
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079568.032221
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079568.333939
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079568.633171
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079568.928356
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079569.250081
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079569.531913
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079569.825520
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079570.092823
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079570.354159
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079570.642079
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079570.926408
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079571.221122
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079571.507340
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079571.806356
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079572.095037
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079572.415953
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079572.709154
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079573.000402
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079573.301846
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079573.591772
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079573.903837
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079574.196848
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079574.508693
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079574.826367
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079575.080149
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079575.342935
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079575.636841
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079575.946540
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079576.235011
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079576.535217
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079576.840777
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079577.126726
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079577.426693
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079577.737032
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079578.021336
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079578.322329
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079578.633025
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079578.927051
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079579.224701
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079579.509498
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079579.808417
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079580.083208
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079580.362222
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079580.654166
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079580.962506
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079581.268566
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079581.560266
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079581.849553
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079582.140477
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079582.462271
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079582.771531
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079583.055476
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079583.361148
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079583.671127
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079583.979366
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079584.279445
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079584.563681
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079584.874764
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079585.143001
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079585.434307
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079585.748398
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079586.024799
-51,-81,-10,24,423,66536,423,-51,-84,-9,1688079586.318069
