Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
13,1685649917.353085000,142.250.72.164,10.215.173.1,132,64,0,43.997,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
14,1685649918.310841000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
15,1685649918.358023000,142.250.72.164,10.215.173.1,132,64,0,47.182,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
16,1685649919.312409000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
17,1685649919.352839000,142.250.72.164,10.215.173.1,132,64,0,40.43,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
18,1685649920.314358000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
19,1685649920.368850000,142.250.72.164,10.215.173.1,132,64,0,54.492,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
20,1685649921.317257000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
21,1685649921.353532000,142.250.72.164,10.215.173.1,132,64,0,36.275,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
22,1685649922.318750000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
23,1685649922.363675000,142.250.72.164,10.215.173.1,132,64,0,44.925,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
24,1685649923.319844000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
25,1685649923.362068000,142.250.72.164,10.215.173.1,132,64,0,42.224,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
26,1685649924.320930000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
27,1685649924.362793000,142.250.72.164,10.215.173.1,132,64,0,41.863,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
28,1685649925.322024000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
29,1685649925.362770000,142.250.72.164,10.215.173.1,132,64,0,40.746,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
30,1685649926.323867000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
31,1685649926.362843000,142.250.72.164,10.215.173.1,132,64,0,38.976,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
32,1685649927.325510000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
33,1685649927.362906000,142.250.72.164,10.215.173.1,132,64,0,37.396,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
34,1685649928.326892000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
35,1685649928.361996000,142.250.72.164,10.215.173.1,132,64,0,35.104,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
36,1685649929.328725000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
37,1685649929.372788000,142.250.72.164,10.215.173.1,132,64,0,44.063,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
38,1685649930.330540000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
39,1685649930.372976000,142.250.72.164,10.215.173.1,132,64,0,42.436,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
40,1685649931.331746000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
41,1685649931.371962000,142.250.72.164,10.215.173.1,132,64,0,40.216,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
42,1685649932.333755000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
43,1685649932.372773000,142.250.72.164,10.215.173.1,132,64,0,39.018,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
