Pkt_no,Time,src,dst,length,ttl,Type,RTT,Time,Loc,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,rssi,rsrp,rsrq,rssnr,lteLevel,rat,mPci,mEarfcn,rssi,rsrp,rsrq
81,1684945391.047038000,172.217.14.68,10.215.173.1,132,64,0,52.354,1684945391.8955631,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-11
82,1684945391.995240000,10.215.173.1,172.217.14.68,132,64,8,,1684945392.153075,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-11
83,1684945392.054810000,172.217.14.68,10.215.173.1,132,64,0,59.57,1684945392.889782,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-11
84,1684945392.996049000,10.215.173.1,172.217.14.68,132,64,8,,1684945393.165496,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-11
85,1684945393.033060000,172.217.14.68,10.215.173.1,132,64,0,37.011,1684945393.924896,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-11
86,1684945393.996632000,10.215.173.1,172.217.14.68,132,64,8,,1684945394.227475,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-11
87,1684945394.033130000,172.217.14.68,10.215.173.1,132,64,0,36.498,1684945395.019904,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
88,1684945394.997867000,10.215.173.1,172.217.14.68,132,64,8,,1684945395.302119,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
89,1684945395.034193000,172.217.14.68,10.215.173.1,132,64,0,36.326,1684945395.8614001,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
90,1684945395.997850000,10.215.173.1,172.217.14.68,132,64,8,,1684945396.214216,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
91,1684945396.036056000,172.217.14.68,10.215.173.1,132,64,0,38.206,1684945396.9821482,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
92,1684945396.999742000,10.215.173.1,172.217.14.68,132,64,8,,1684945397.353388,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
93,1684945397.042993000,172.217.14.68,10.215.173.1,132,64,0,43.251,1684945397.9143732,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
94,1684945398.000358000,10.215.173.1,172.217.14.68,132,64,8,,1684945398.318378,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
95,1684945398.042971000,172.217.14.68,10.215.173.1,132,64,0,42.613,1684945398.908752,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
96,1684945399.002273000,10.215.173.1,172.217.14.68,132,64,8,,1684945399.201091,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
97,1684945399.054830000,172.217.14.68,10.215.173.1,132,64,0,52.557,1684945400.023368,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
98,1684945400.004733000,10.215.173.1,172.217.14.68,132,64,8,,1684945400.322297,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
99,1684945400.044351000,172.217.14.68,10.215.173.1,132,64,0,39.618,1684945400.968137,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
100,1684945401.005200000,10.215.173.1,172.217.14.68,132,64,8,,1684945401.249665,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
101,1684945401.044864000,172.217.14.68,10.215.173.1,132,64,0,39.664,1684945401.861226,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
102,1684945402.007358000,10.215.173.1,172.217.14.68,132,64,8,,1684945402.139122,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
103,1684945402.043958000,172.217.14.68,10.215.173.1,132,64,0,36.6,1684945402.9246101,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
104,1684945403.009839000,10.215.173.1,172.217.14.68,132,64,8,,1684945403.199921,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
105,1684945403.053086000,172.217.14.68,10.215.173.1,132,64,0,43.247,1684945403.9905221,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
106,1684945404.011116000,10.215.173.1,172.217.14.68,132,64,8,,1684945404.288189,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
107,1684945404.055999000,172.217.14.68,10.215.173.1,132,64,0,44.883,1684945404.873837,"40.493980,-111.865872",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-10
108,1684945405.013452000,10.215.173.1,172.217.14.68,132,64,8,,1684945405.145112,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
109,1684945405.053957000,172.217.14.68,10.215.173.1,132,64,0,40.505,1684945405.91132,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
110,1684945406.014901000,10.215.173.1,172.217.14.68,132,64,8,,1684945406.200938,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
111,1684945406.054061000,172.217.14.68,10.215.173.1,132,64,0,39.16,1684945407.0312252,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
112,1684945407.016715000,10.215.173.1,172.217.14.68,132,64,8,,1684945407.32146,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
113,1684945407.052864000,172.217.14.68,10.215.173.1,132,64,0,36.149,1684945407.980335,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
114,1684945408.017677000,10.215.173.1,172.217.14.68,132,64,8,,1684945408.3011599,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
115,1684945408.054119000,172.217.14.68,10.215.173.1,132,64,0,36.442,1684945409.126108,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
116,1684945409.019341000,10.215.173.1,172.217.14.68,132,64,8,,1684945409.39192,"40.493980,-111.865871",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,23,5,14,423,975,-51,-76,-9
